timestamp,moisture_value
2025-04-25 18:47:29,1024
2025-04-25 18:47:34,1024
2025-04-25 18:47:40,1024
2025-04-25 18:47:45,1024
2025-04-25 18:47:51,1024
2025-04-25 18:47:56,1024
2025-04-25 18:48:39,1024
2025-04-25 18:48:44,1024
2025-04-25 18:48:49,1024
2025-04-25 18:48:55,1024
2025-04-25 18:49:00,1024
2025-04-25 18:49:06,1024
2025-04-25 18:49:11,1024
2025-04-25 18:49:16,1024
2025-04-25 18:49:21,1024
2025-04-25 18:49:26,1024
2025-04-25 18:49:31,1024
2025-04-25 18:49:37,1024
2025-04-25 18:49:42,1024
